구분1,평일,토요일,일요일
서울,"3,295,972","2,453,845","1,866,087"
부산,"755,854","629,654","455,613"
대구,"285,446","241,065","172,883"
인천,"547,445","423,849","314,831"
광주,"139,922","112,122","81,432"
대전,"169,340","135,333","102,136"
울산,"92,606","74,130","52,094"
세종,"20,319","14,550","10,610"
경기,"2,159,097","1,647,746","1,206,967"
강원,"55,231","45,250","33,969"
충북,"69,423","60,082","44,030"
충남,"109,302","94,446","72,121"
전북,"81,279","62,137","44,325"
전남,"86,759","73,151","51,363"
경북,"88,515","73,438","52,270"
경남,"220,951","179,281","125,517"
제주,"57,551","47,559","39,284"
